"provincia";"unidad";"glaciares_en_app";"glaciares_en_apn";"superficie_glaciares_en_ap";"superficie_total_glaciar_por_provincia";"porcentaje"

"Santa Cruz";"Km2";"348.2";"3005.5";"3353.7";"3420.8";"98"

"Río Negro";"Km2";"7.5";"22.3";"29.8";"32.9";"90"

"Neuquén";"Km2";"31.1";"11.6";"42.7";"51.3";"83"

"Mendoza";"Km2";"1013.9";"0";"1013.9";"1239.2";"81"

"Tucumán";"Km2";"0.4";"6.2";"6.6";"10";"66"

"Chubut";"Km2";"55.8";"64.7";"120.5";"223.7";"53"

"Tierra del Fuego Antartida e Islas del Atlantico Sur";"Km2";"0.8";"8.5";"9.3";"21.2";"43"

"La Rioja";"Km2";"9.8";"0";"9.8";"49.5";"19"

"Jujuy";"Km2";"1.2";"0";"1.2";"9.5";"12"

"Salta";"Km2";"3";"0";"3";"31";"9.67"

"San Juan";"Km2";"55.6";"0";"55.6";"614";"9.05"

"Catamarca";"Km2";"0";"0";"0";"64.9";"0"
