"provincia";"superficie_glaciar_descubierto_km2";"superficie_glaciar_cubierto_km2";"superficie_manchon_nieve_km2";"superficie_glaciar_cubierto_glaciar_escombros_km2";"superficie_glaciar_escombros_km2"

"Jujuy";"0";"0";"0,02";"0";"9,51"

"Salta";"0,25";"0";"1,27";"0";"29,45"

"Tucuman";"0";"0";"0,03";"0";"9,97"

"Catamarca";"26,26";"0";"25,01";"0";"13,62"

"La Rioja";"17,63";"0";"29,79";"0";"2,08"

"San Juan";"197,6";"7,88";"55";"62";"292,47"

"Mendoza";"527,01";"178,36";"37,67";"211,56";"284,59"

"Neuquén";"26,44";"5,1";"13,26";"2,06";"4,43"

"Rio Negro";"26,19";"1,13";"5,27";"0";"0,35"

"Chubut";"178,22";"3,93";"41,4";"0";"0,14"

"Santa Cruz";"3.262,34";"78,72";"54,91";"2,7";"22,07"

"Tierra del Fuego,Antartida e Islas del Atlantico Sur";"2.658,14";"42,68";"28,69";"0,07";"6,91"

"Jujuy";"0";"0";"0,02";"0";"9,51"

"Salta";"0,25";"0";"1,27";"0";"29,45"

"Tucuman";"0";"0";"0,03";"0";"9,97"

"Catamarca";"26,26";"0";"25,01";"0";"13,62"

"La Rioja";"17,63";"0";"29,79";"0";"2,08"

"San Juan";"197,6";"7,88";"55";"62";"292,47"

"Mendoza";"527,01";"178,36";"37,67";"211,56";"284,59"

"Neuquén";"26,44";"5,1";"13,26";"2,06";"4,43"

"Rio Negro";"26,19";"1,13";"5,27";"0";"0,35"

"Chubut";"178,22";"3,93";"41,4";"0";"0,14"

"Santa Cruz";"3.262,34";"78,72";"54,91";"2,7";"22,07"

"Tierra del Fuego,Antartida e Islas del Atlantico Sur";"2.658,14";"42,68";"28,69";"0,07";"6,91"
